building,geoname_id,flc_name,lat,long
Old Dominion Hall,4777132,BLDG,37.27209,-76.71246
Providence Hall,4780514,BLDG,37.2682,-76.69579
William Barton Rogers Hall,4793769,BLDG,37.27154,-76.71079
William and Mary Hall,4793786,BLDG,37.27348,-76.71968
Taliaferro Hall,4788739,BLDG,37.26959,-76.70885
The Brafferton,4789113,BLDG,37.27042,-76.70829
The Capitol,4789119,BLDG,37.27126,-76.69329
Trinkle Hall,4790138,BLDG,37.26931,-76.70829
Tyler Hall,4790511,BLDG,37.26987,-76.70773
Washington Hall,4792331,BLDG,37.27015,-76.71079
James City County Courthouse,4766448,BLDG,37.26792,-76.70523
Jefferson Hall,4766598,BLDG,37.26959,-76.71051
Blow Gymnasium,4748012,BLDG,37.27237,-76.71135
Brown Hall,4749273,BLDG,37.27209,-76.70746
Bryan Hall,4749477,BLDG,37.27292,-76.71246
Camm Hall,4750563,BLDG,37.2732,-76.71274
Chandler Hall,4751915,BLDG,37.26959,-76.71246
Landrum Hall,4768537,BLDG,37.27015,-76.71329
Marshall Wythe Hall,4771740,BLDG,37.27154,-76.7119
Monroe Hall,4773651,BLDG,37.27209,-76.71051
Dawson Hall,4755472,BLDG,37.27265,-76.71274
Ewell Hall,4757956,BLDG,37.27015,-76.70996
Barrett Hall,4745687,BLDG,37.26931,-76.71135
Sorority Court,6345321,BLDG,37.27222,-76.70861
Stetson House,6345322,BLDG,37.26917,-76.71
Taylor Building,6345323,BLDG,37.27361,-76.71056
Thiemes House,6345324,BLDG,37.27333,-76.71111
Tucker Hall,6345325,BLDG,37.27139,-76.71
University Center,6345326,BLDG,37.27167,-76.71417
Western Union Building,6345327,BLDG,37.27167,-76.70806
Yates Hall,6345329,BLDG,37.2725,-76.71778
Campus Center,6345357,BLDG,37.26972,-76.70806
Center for Archaelogical Research,6345358,BLDG,37.27333,-76.71139
College Apartments,6345359,BLDG,37.27222,-76.70778
Commuter Student House,6345360,BLDG,37.26833,-76.71194
Corner House,6345361,BLDG,37.26861,-76.71167
Crim Deli,6345362,BLDG,37.27083,-76.71389
Davis House,6345363,BLDG,37.27194,-76.70778
Dupont Hall,6345364,BLDG,37.26972,-76.71972
Graduate House,6345365,BLDG,37.26917,-76.71028
Hoke House,6345366,BLDG,37.26944,-76.70972
Holmes House,6345367,BLDG,37.26889,-76.71083
Horsby House,6345368,BLDG,37.26861,-76.71139
Hunt Hall,6345369,BLDG,37.26917,-76.7075
James Blair Hall,6345370,BLDG,37.27139,-76.71194
Jones Hall,6345371,BLDG,37.26833,-76.71667
Keck Environmental Field Lab,6345373,BLDG,37.26972,-76.7225
Lake Matoaka Art Studio,6345374,BLDG,37.26722,-76.72111
Lambert House,6345375,BLDG,37.26889,-76.71083
McCormack-Nagelsen Tennis Center,6345378,BLDG,37.26278,-76.705
McGlothlin-Street Hall,6345379,BLDG,37.27028,-76.71167
Millington Hall,6345380,BLDG,37.26972,-76.71528
Morton Hall,6345381,BLDG,37.2675,-76.71694
Old Lodges,6345383,BLDG,37.27111,-76.71528
Physical Plants Crafts Shop,6345385,BLDG,37.26806,-76.70889
Prince George House,6345387,BLDG,37.2725,-76.70861
Recreational Sports Center,6345388,BLDG,37.27444,-76.72139
Rowe House,6345390,BLDG,37.26889,-76.71111
Savage House,6345392,BLDG,37.27556,-76.71417
Small Physical Laboratory,6345393,BLDG,37.26889,-76.71722
Adair Gymnasium,6345425,BLDG,37.26861,-76.71833
Andrews Hall,6345426,BLDG,37.26861,-76.71556
Bell Building,6345427,BLDG,37.26806,-76.71222
Blow Memorial Hall,6345428,BLDG,37.27222,-76.71139
Bridges House,6345430,BLDG,37.26917,-76.70972
Brafferton,8478961,BLDG,37.27028,-76.70833
Rogers Hall,8478962,BLDG,37.26917,-76.71389
